Royal Exchange, London, England
No. 71, Paul-street, Finsbury-square, London, England
Swallow-street, London, England
Swallow-street, London, England
Stroud-green, Islington, London, England
Stroud-green, Islington, London, England
Holywell-lane, Shoreditch, London, England
Newington-green, London, England
No. 12, Park-street, London, England
Aldgate, London, England
Aldgate, London, England
Swan and Two Necks Inn, in Lad-lane, London, England
Aldersgate street, London, England
St. Pancras, London, England
Curtain-road, Shoreditch, London, England
High-street, St. Mary-le-bone, London, England
High-street, St. Mary-le-bone, London, England
Fetter-lane, London, England
Fetter-lane, London, England
Temple-cloisters, London, England
Temple-cloisters, London, England
Finsbury-square, London, England
No. 1, Bedford-place, Bloomsbury-square, London, England
Mill-Bank, London, England
No. 16, Holywell-lane, Shoreditch, London, England
Jewin-street, London, England
Smallbury-green, London, England
Brentford, London, England
Warwick-lane, Newgate-market, London, England
No. 104, Bishopsgate-street, London, England
No. 11, Bird-street, Grosvenor-square, London, England
Bishopsgate-street, London, England
27, Oxford-street, London, England
Coal Exchange, London, England
Kentish Town, London, England
294, Holborn, London, England
Tottenham, in West Green Lane, London, England
126, Newgate-Street, London, England
Harper-street, Red-Lion-Square, London, England
2, York-street, London, England
Little Queen-street, London, England
City-road, London, England
Sherbourne-lane, London, England
21, Aldgate, High-street, London, England
Parson's-street, Wellclose-square, London, England
Hanworth-park, London, England
No. 4, Henrietta-street, Manchester-square, London, England
34, Ironmonger-lane, London, England
156, Ratcliffe-highway, St. George's in the East, London, England
25, Queen-street. Westminster, London, England
38 Stanhope-street, Clare-market, London, England
38 Stanhope-street, Clare-market, London, England
parish of St. Clement's Danes, London, England
parish of St. Clement's Danes, London, England
Minories, London, England
Whitechapel, London, England
the King of Prussia, in Leather-lane, London, England
No. 1, Portland-place, London, England
Wych-street, London, England
Bow-fair, London, England
Frederick-place, Hampstead-road, London, England
Mr. Hippesley's billiard-rooms, London, England
Mary-bone-lane, London, England
Lothbury, London, England
George-street, Grosvenor-square, London, England
Charles-street, Drury-lane, London, England
New-street, Carnaby Market, London, England
Edmonton, London, England
Spitalfields market, London, England
Bond-street, London, England
Bond-street, London, England
Green Man-Lane, London, England
Tower-street, London, England
Rosemary-lane, London, England
Opera House, London, England
Haymarket, London, England
Fitzroy-place, London, England
Queen's gate, London, England
Union-court, Ratcliffe Highway, London, England
Royalty Theatre, London, England
6. Crown-street, Finsbury-square, in the parish of Shoreditch, London, England
Philpot-lane, London, England
Lawrence-lane, London, England
London-bridge, London, England
Billingsgate, London, England
Bartholomew Fair, London, England
Sommerset House, London, England
Fleet-street, London, England
Brown's-lane, Spitalfields, London, England
East India Dock road, London, England
Hendon, London, England
Whitechapel, London, England
Christian-street, Spital fields, London, England
No. 48, Cheyney Walk, Chelsea, London, England
Shoreditch, London, England
19, Marshall-street Carnaby Market, London, England
93, Drury-lane, London, England
Alfred Club-house, Albemarle-street, London, England
No. 10, Great Tichfield-street, London, England
Brompton, London, England
No. 37, Booth-street, Spital-fields, London, England
Teddington, London, England
Blandford-street, Manchester-square, London, England
Ratcliffe Highway, London, England
Gravel lane, London, England
Old Change, London, England
Holborn-bridge, London, England
Epsom races, London, England
Epsom races, London, England
Leadenhall street, London, England
New Burlington-street, London, England
New Burlington-street, London, England
77, Bunhill-row, London, England
Gray's-innlane, London, England
Buckler's Bury, London, England
Smithfield-bars, London, England
City Canal, London, England
Clare-street, London, England
Wood-street, London, England
White-chapel, London, England
East India Docks, London, England
Broad-street, St. Giles's, London, England
Piccadilly, London, England
Aldgate High street, Whitechapel, London, England
Mark's place, Hoxton, London, England
King's Head, London, England
Sadler's Hall, London, England
King-street, Clerkenwell, London, England
Drury-lane, London, England
Broad-way Westminster, London, England
Holborn, London, England
Holborn, London, England
Charles-street, Drury-lane, London, England
Charles-street, Drury-lane, London, England
Stepney Fields, London, England
Brook Green Fair, London, England
Artillery Ground, London, England
Pump-row. Old-street -road, London, England
Cheapside, London, England
Wellclose square, London, England
Paddington, London, England
Paternoster row, Spitalfields, London, England
Globe Academy, Bethnal-Green, London, England
Wentworth-street, London, England
Minories, London, England
Vine-street, Minories, London, England
Holles-street, London, England
Liquorpond street, London, England
Raven-row, Spitalfields, London, England
Featherstone-buildings, Holborn, London, England
Great Turnstile, Holborn, London, England
Strand, London, England
Strand, London, England
Red Lion in Islington-Road, London, England
Holborn, London, England
Cross-lane, St. Dunstan's hill, London, England
Hendon, London, England
Russell-place, London, England
Bentick-street, London, England
Bishopsgate-street, London, England
Old-street, London, England
St. Martin in the fields, London, England
the White-horse, by Clements-inn fore-gate, London, England
Shoot-up Hill, near Hampstead, London, England
No. 147 in the Strand, London, England
No. 147 in the Strand, London, England
great Wild-street, London, England
Chick-lane when I lost it, at the Marquis of Granby, London, England
Chick-lane when I lost it, at the Marquis of Granby, London, England
St. Giles's round-house, London, England
Little Turn-stile, Holborn, London, England
Friday-street, London, England
Ealing, London, England
Chancery-lane, London, England
Holborn-bridge, London, England
Old Bailey, London, England
Fleet-street, London, England
Fleet-street, London, England
the White-bear, in great Eastcheap, London, England
the White-bear, in great Eastcheap, London, England
Newgate-street, London, England
Newgate-street, London, England
Baker's-row, Whitechapel, London, England
Baker's-row, Whitechapel, London, England
Haymarket, London, England
Haymarket, London, England
20, Portman-street, Portman-square, London, England
20, Portman-street, Portman-square, London, England
New church in the Strand, London, England
New church in the Strand, London, England
permit office, in Lancaster-court, in the Strand, London, England
Arlington-street, London, England
No. 131, Bishopsgate Without, London, England
Cock-court, Ludgate-hill, London, England
Cheapside, London, England
Smithfield, London, England
St. James's-street, London, England
Tower-street, Seven-dials, London, England
Goodman's-yard, Minories, London, England
Cloak-lane, London, England
Bruton-street, London, England
Union-street, Old Artillery Ground, London, England
Fulwood's Rents, London, England
Prince William Henry, a publick house, at Charing cross, London, England
Smithfield, London, England
Smithfield, London, England
Fleet-market, London, England
Fleet-market, London, England
No. 10, Charles-court, in the parish of St. Martin's in the Fields, London, England
Castle-street, Marybone, London, England
Castle-street, Marybone, London, England
No. 6, Charter-house-lane, London, England
No. 6, Charter-house-lane, London, England
No. 3, New Turnstile, Holbourn, London, England
No. 3, New Turnstile, Holbourn, London, England
Mile-end, London, England
Snow-hill, London, England
29, New Bridge-street, London, England
43, Aldersgate-street, London, England
Throgmorton-street, London, England
Piccadilly, near the White Horse-cellar, London, England
42, Whitcomb-street, London, England
Upper Norton-street, No. 48., London, England
Upper Norton-street, No. 48., London, England
Spring-Gardens, London, England
Spring-Gardens, London, England
Vine-street, London, England
Vine-street, London, England
Garrick's Head, Bow-street, Covent-Garden, London, England
Garrick's Head, Bow-street, Covent-Garden, London, England
Shadwell, London, England
Shadwell, London, England
Swan with Two Necks, Lad-lane, London, England
Long-acre, London, England
No. 114, Long-acre, London, England
St. James, Clerkenwell, London, England
Hoxton, London, England
New-street square, Shoe-lane, London, England
Enfield, London, England
No. 7, Wardour-street, Soho, London, England
Union-street, Shadwell, London, England
Harley-street, London, England
No. 43, King-street, Seven-dials, London, England
No. 3. Panton-street, Hay-market, London, England
Denmark-street, St. Giles's, London, England
No. 3, Meard's-court, Soho, London, England
No. 3, Meard's-court, Soho, London, England
George-street, Grosvenor-square, London, England
Orange-court, London, England
Rodney-row, in the parish of St. Paul's, Shadwell, London, England
Charing-cross, London, England
Charing-cross, London, England
Broad-street, St. Giles's, London, England
Great Queen-street, Lincoln's-Inn-fields, London, England
Cow-lane, Smithfield, London, England
Temple-bar, London, England
Fleet-street, London, England
White-house, near the Shepherd and Shepherdess, in the parish of Shoreditch, London, England
Gracechurch-street, London, England
Fleet-street, London, England
Foster-lane, London, England
Clerkenwell-green, London, England
Bedfont in the county of Middlesex, London, England
Hand-court, Holborn, London, England
Hand-court, Holborn, London, England
Parson's-street, St. George's, Middlesex, London, England
the vicarage-house of St. Giles, Cripplegate, London, England
Plough-court, Seething-lane, London, England
between Norfolk-street and Somerset-house, London, England
Little Pulteney-street, London, England
Islington, London, England
Butcher-row, East-Smithfield, London, England
163, Whitecross street, London, England
Cheapside, London, England
Cheapside, London, England
Virginia-street, Ratcliffe Highway, in the parish of St. George's, London, England
Virginia-street, Ratcliffe Highway, in the parish of St. George's, London, England
Oxford-street, London, England
Oxford-street, London, England
St. Martin's-lane, Charing-cross, London, England
East-Smithfield, London, England
Standgate, Lambeth, London, England
Little Catherine-street, to a house called the Dark-House, London, England
Cheapside, London, England
Hanover-square, London, England
Argyle-street, London, England
Great Tower-street, London, England
24, Holywell-yard, London, England
Dyot-street, St. Giles's, London, England
Leicester-square, London, England
Silk-street, London, England
Fann-street, Aldersgate-street, London, England
Fore-street, London, England
Wych-street, London, England
High Holborn, London, England
Goodman's-yard, Goodman's-fields, London, England
Isleworth, London, England
Wiggins's Quay, London, England
George, Beach-street, London, England
Leather-lane, London, England
Red-lion-street, Holborn, London, England
Harley-street, London, England
Craven-street, London, England
No. 89, Minories, London, England
Bedfont, London, England
No. 11, Gray's-inn-square, London, England
the Rising-sun, at Enfield, London, England
Fleet-street, London, England
Fleet-street, London, England
Piccadilly, London, England
Iver, London, England
Northumberland-street, London, England
15, Wood-street, Cheapside, London, England
Gerard-street, Soho, London, England
8, Union-court, Broad-street, London, England
8, Union-court, Broad-street, London, England
16, Staining-lane, London, England
16, Staining-lane, London, England
Tottenham-court-road, London, England
Fore-street, London, England
Featherstone-buildings, in Holborn, London, England
New-street, Bishopsgate-street, London, England
No. 4, Fountain-court, Minories, London, England
Portland-place, London, England
Chapman-street, London, England
King's warehouse upon Tower-Hill, London, England
Pall-mall, London, England
King-street, Westminster, London, England
No. 10, Worship-street, London, England
Turnmill-street, London, England
Turnmill-street, London, England
St. Dunstan's church, in Fleet-street, London, England
Lincoln's-Inn-fields, London, England
Old Jewry, London, England
Cornhill, London, England
Bishopsgate-street, London, England
9. Commercial-road, London, England
Earl of Moira on Saffron-hill, London, England
10, Leather-lane, Holborn, London, England
104, Ratcliffe-Highway, London, England
the Olive Branch, at the bottom of Homer-street, Paddington, London, England
the Olive Branch, at the bottom of Homer-street, Paddington, London, England
No. 5, Red-lion-street, London, England
No. 5, Red-lion-street, London, England
47, Baker-street, in the parish of Marybone, London, England
47, Baker-street, in the parish of Marybone, London, England
Royal Exchange, London, England
Downing-street, St. Margaret's, Westminster, London, England
No. 3, Little Bell Court, Gray's-inn-lane, in the parish of St. Andrews, Holborn, London, England
No. 3, Little Bell Court, Gray's-inn-lane, in the parish of St. Andrews, Holborn, London, England
Castle-street, Leicester-square, London, England
Castle-street, Leicester-square, London, England
Holborn, London, England
Holborn, London, England
Church-lane Whitechapel, London, England
Tottenham, London, England
Tottenham, London, England
Newington, London, England
Newington, London, England
235, Holborn, London, England
235, Holborn, London, England
33, Vere-street, Clare-market, London, England
Black Horse, at the corner of Coventry-street, London, England
Black Horse, at the corner of Coventry-street, London, England
White Hart in St. John-street, London, England
White Hart in St. John-street, London, England
78, Chiswell-street, London, England
White's-row, Spitalfields, London, England
Pall Mall, London, England
Tottenham-court-road, London, England
Blackwall, London, England
Fleet-Market, London, England
Brunswick Terrace, London, England
Silver-street, London, England
St. James's-street, London, England
St. James's-street, London, England
the Strand, London, England
the Strand, London, England
London Wall, London, England
Isleworth, London, England
Tothill-street, Westminster, London, England
Weaver's Arms, London, England
Golden Lion, Lemon street, Goodman's-fields, London, England
Bagnigge Wells, London, England
Catherine Street, London, England
Haverstock church, London, England
No. 41 Wood Street, London, England
St. George, Hanover-square, London, England
47, Saffron-hill, London, England
47, Saffron-hill, London, England
Ralph's and Young's Quay, Lower Thames-street, London, England
Bull's-head, Leadenhall-street, London, England
Aldersgate street, London, England
Narrow-street, Ratcliffe, London, England
Fleet-street, London, England
No. 4, Tennis-court, Middle-row, Holborn, London, England
No. 4, Tennis-court, Middle-row, Holborn, London, England
Bishopgate Within, London, England
Leadenhall market, London, England
57, Bartholomew-close, London, England
Smithfield, London, England
140, Whitecross-street, London, England
No. 1, Pickett Street, Temple Bar, London, England
13, Marygold-court, Strand, in the parish of St. Martin's in the Fields, London, England
Southampton-row, No. 49, Bloomsbury, London, England
Cornhill, London, England
Cornhill, London, England
Old Change, London, England
2, New-court, Peter's-lane, London, England
Commercial coffee house in the parish of Stepney, London, England
Ludgate-hill, London, England
Leadenhall-street, London, England
Billater-lane, London, England
Tothill-street, Westminster, London, England
No. 4, King's Row, Pimlico, London, England
Shoreditch, London, England
Golden-lane, London, England
21, Gracechurch-street, London, England
Grays Inn lane, London, England
Cheapside, London, England
West India Docks, London, England
Brick-lane, London, England
Brick-lane, London, England
Russelcourt, London, England
Russelcourt, London, England
Mackworth's Arms in the Commercial Road, London, England
Creswell-street, London, England
Eden-street, London, England
Russel-street, London, England
Burlington House, London, England
St. Martin's-lane, London, England
St. Martin's-lane, London, England
Shakespeare Walk, London, England
Princes-street, Spitalfields, London, England
Smart's-buildings, London, England
Holborn, London, England
Wentworth-street, London, England
Wentworth-street, London, England
Red Lion, in Gravel-lane, London, England
Red Lion, in Gravel-lane, London, England
Rathbone-place, London, England
Mile End, London, England
Mile End, London, England
Bond-street, London, England
Strand, London, England
George Row, London, England
Finsbury-square, London, England
St. George's, Hanover square, London, England
Ratcliffe Highway, London, England
Eastham, in the County of Essex, London, England
Charles-street, Drury-lane, London, England
Charles-street, Drury-lane, London, England
Cumberland-street, London, England
Oxford-street, London, England
Brook Green Fair, London, England
Little Turnstile, Holborn, London, England
Little Turnstile, Holborn, London, England
St. Paul's, London, England
Tothill Fields, London, England
Tothill Fields, London, England
the Black Lion public-house, at Kelburn, London, England
the Black Lion public-house, at Kelburn, London, England
No. 3, Staining-lane, London, England
Weaver's Arms, Bell-court, Grubb-street, London, England
Hendon, London, England
Holborn, London, England
Holborn, London, England
Gloucester-buildings, Whitecross-street, St. Luke's, London, England
Gloucester-buildings, Whitecross-street, St. Luke's, London, England
No. 24, Fore-street, Hatton Garden, London, England
Grove-street-field, Hackney, London, England
Kensington, London, England
Gough-square, London, England
Chancery-lane, London, England
Blue Anchor, York-street, London, England
St. Pancras, London, England
Clare-court, Drury-lane, London, England
Charles-street, Durry-lane, London, England
Charles-street, Durry-lane, London, England
Camden-town, London, England
Camden-town, London, England
51, Baldwin's-gardens, in the parish of St. Andrews, London, England
Rose-street, Soho, London, England
Fleet Street, London, England
Castle-street, London, England
parish of St. Ann's, London, England
No. 86, Long Acre, London, England
Angel and Trumpet public-house, at Stepney, London, England
Watling-street, London, England
Watling-street, London, England
Fleet-street, London, England
Fleet-street, London, England
Coocked-lane, London, England
32, Castle-street, Leicester-fields, London, England
parish of St. Martin's in the fields, London, England
No. 5, Crescent-place, Blackfriars, London, England
Huggin-lane, London, England
parish of St. Lawrence Jewry, London, England
parish of St. George, Middlesex, London, England
Endfield, London, England
No. 40, Glocester-place, Portman square, London, England
between Gracechurch-street and Fenchurch-street, London, England
parish of St. Luke's, London, England
Aldgate, London, England
Poultry Compter, London, England
Goswell-street, London, England
Castle-yard, Broadway, in the parish of St. Margaret's, Westminster, London, England
Foster-lane, London, England
Foster-lane, London, England
St. Paul's church-yard, London, England
St. Paul's church-yard, London, England
Ball's Pond, just beyond Islington, London, England
Fullwood's Rents Court, London, England
26, Lower Sloane-street, London, England
Prince Eugene, Chelsea, London, England
Broad-street, St. Giles's, London, England
Upper Norman-street, London, England
Upper Norman-street, London, England
No. 306, High Holborn, London, England
Newman-street, Oxford-road, London, England
Newman-street, Oxford-road, London, England
Gerard-street, London, England
Gerard-street, London, England
Ponder's End, London, England
Tottenham, London, England
No. 65, Hatton-garden, London, England
Hammersmith, London, England
Charles-court, Strand, London, England
Brownlow-street, Holborn, London, England
Covent Garden, London, England
the Magpye, in Aldersgate-street, London, England
Willsden, London, England
Tottenham-court-road, London, England
Swallow-street, Piccadilly, London, England
Hemmings's-row, London, England
Cornhill, London, England
Royal Exchange, London, England
George-street, Bethnal-green, London, England
High-street, St. Giles's, London, England
New Church in the Strand, London, England
No. 23, Redcross-street, Cripplegate, London, England
St. James's Park, London, England
Hare-court, London, England
Hare-court, London, England
St. Paul's Church-yard, London, England
Parker's-street, London, England
Parker's-street, London, England
St. Paul's, London, England
St. Paul's, London, England
Cavendish-square, London, England
23, Crown-street, Moor-fields, London, England
Four Swans, London, England
Four Swans, London, England
Red-cross-street, London, England
Red-cross-street, London, England
Smithfield, London, England
Bread-street, Cheapside, London, England
Bread-street, Cheapside, London, England
Fig-tree-court, London, England
Fig-tree-court, London, England
Fenchurch-street, London, England
Moorfields, London, England
Moorfields, London, England
No. 67, Rosemary-lane, London, England
No. 67, Rosemary-lane, London, England
the Nelly, London, England
18, Red-cross-street, London, England
18, Red-cross-street, London, England
Exchange, London, England
St. Catherine's-lane, London, England
No. 3, White Bear-court, Aldersgate, High-street, London, England
No. 3, White Bear-court, Aldersgate, High-street, London, England
Devonshire-place, London, England
Devonshire-place, London, England
the Sugar-loaf, Bell-yard, London, England
the Sugar-loaf, Bell-yard, London, England
No. 8, Baker's-buildings, West-Smithfield, London, England
No. 8, Baker's-buildings, West-Smithfield, London, England
No. 3, Star-court, London, England
No. 3, Star-court, London, England
Somerset-house, London, England
Somerset-house, London, England
Queen-street, London, England
Cricket-ground at Marybone, London, England
Cricket-ground at Marybone, London, England
Hampstead, London, England
Hampstead, London, England
No. 41, Old-street, London, England
No. 41, Old-street, London, England
Ely-place, London, England
No. 292, Wapping, London, England
Drury-lane, London, England
Inner-Temple lane, London, England
Long-lane, London, England
coal yard, St. Giles's, London, England
High Holborn, London, England
Rathbone place, London, England
Rathbone place, London, England
Great Titchfield-street, Marybone, London, England
Great Titchfield-street, Marybone, London, England
No. 48, Baldwin's-gardens, London, England
No. 48, Baldwin's-gardens, London, England
No. 3, in Middlesex-court, London, England
Bishopsgate-street, London, England
Leadenhall-street, London, England
Galley-quay, London, England
No. 4, Sun-street, Bishopsgate-street, London, England
No. 4, Sun-street, Bishopsgate-street, London, England
Grace-church-street, London, England
Little New-street, London, England
Little New-street, London, England
Drury-lane, London, England
Drury-lane, London, England
Oxford-road, London, England
Broad-court, London, England
Wapping New-Stairs, London, England
Chamberlain's Office, Guildhall, London, England
Drury-lane, London, England
Kensington, London, England
No. 20, Great New-street, Fetter-lane, London, England
Ave-Maria-lane, London, England
Ave-Maria-lane, London, England
Holloway, London, England
Bishopsgate-within, London, England
Bishopsgate-within, London, England
Holiwell-street, in the parish of St. Clement's., London, England
Temple-bar, London, England
No. 445, the corner of Lancaster-court, in the Strand, London, England
Whitcomb-street, London, England
Broad-street, St. Giles's, London, England
No. 77, Holborn-bridge, London, England
No. 35. Leadenhall-street, London, England
Hendon, London, England
St. Clement's-lane, London, England
New Bond-street, London, England
Whitechapel, London, England
Red Lion, in Whitechapel-road, London, England
35, Rosemary-lane, London, England
Long-acre, at the top of Bow-street, London, England
Yorkshire-grey, in Piccadilly, London, England
Homerton in the parish of Hackney, London, England
Homerton in the parish of Hackney, London, England
Dyot-street, London, England
Cheapside, London, England
Lombard-street, London, England
Cannon-street, London, England
No. 19. Widegate-street, London, England
Green Bank, London, England
No. 22, Downing-street, London, England
No. 54, Rathbone-place, London, England
Jermyn-street, St. James's, London, England
No.97, Upper East-Smithfield, London, England
the Cloisters, in the Precinct of St. Catherine's, London, England
the Cloisters, in the Precinct of St. Catherine's, London, England
New Road, Pancras, London, England
New Road, Pancras, London, England
Store-street, Bedford-square, London, England
Thames-street, London, England
Lord Cobham's-head, Coldbath-fields, London, England
the Cart and Horse, in Goswell-street, London, England
Newgate, London, England
Tothill-fields, London, England
Tothill-fields, London, England
the Queen's-head, Covent-Garden-market, London, England
the Queen's-head, Covent-Garden-market, London, England
Holborn, London, England
Battle-bridge, London, England
Spring-gardens, No. 12, London, England
Oxford-street, London, England
Oxford-street, London, England
City-road, London, England
City-road, London, England
Leaping-bar yard, London, England
Leaping-bar yard, London, England
Great Woodstock-street, London, England
Gray's-inn-lane, London, England
Ascot, in the parish of Rislip, London, England
Ascot, in the parish of Rislip, London, England
Cherry-garden stairs, London, England
Cherry-garden stairs, London, England
Fenchurch-street, London, England
Fenchurch-street, London, England
No. 142, Leaden-hall-street, London, England
the Tower, London, England
the Tower, London, England
Oxford-street, London, England
the Plough, at Tottenham, London, England
Enfield, London, England
Sab's quay, London, England
Aldgate High Street, London, England
Fleet-street, London, England
Fleet-market, London, England
Cheapside, London, England
Long-lane, Smithfield, London, England
Sheepy-yard, London, England
Water-lane, Blackfriars, London, England
Goswell-street, London, England
Poultry, London, England
Kentish-Town, London, England
Bethnal-green-road, Stepney, in the parish of St Martin, Bethnal-green, London, England
No. 10, Goodge-street, Tottenham-court-road, London, England
Newgate-market, London, England
the Axe-Inn, Aldermanbury, London, England
Black-horse Court, Fleet-street, London, England
Bow-lane, London, England
the Queen's Head, Piccadilly, London, England
160, in the Minories, London, England
No. 9, Jermyn-street, St. James's;, London, England
No. 9, Cold-bath-square, St. James's, Clerkenwell, London, England
Hans-place, St. Luke, Chelsea, London, England
Charing-cross, London, England
2, Church-court, Kensington, London, England
Still Alley, Houndsditch, London, England
Ratcliffe Highway, London, England
Mile-end road', London, England
Bishopsgate church yard, London, England
160 Fleet Street, London, England
Gutter Lane, London, England
18, Cranbourn-alley, London, England
18, Cranbourn-alley, London, England
St. George's, Hanover-square, London, England
St. George's, Hanover-square, London, England
Fleet-market, London, England
Panton-street, in the Haymarket, London, England
Leadenhall-street, London, England
Shoe-lane, London, England
King-street mews, London, England
Fleet Street, London, England
No. 10, Bayswater-court, St. James's parish, London, England
Red-lion-street, Holborn, London, England
St. Ann's lane, London, England
Fleet market, London, England
42, Rosemary-lane, in the parish of St. Mary, Whitechapel, London, England
29, Cockspur-street, in the parish of St. Martin's, London, England
Bear Quay, London, England
George-street in the Minories, London, England
the Castle Inn Wood-street, London, England
St. Anns Lane, London, England
St. Anns Lane, London, England
Smithfield Bars, London, England
Smithfield Bars, London, England
Bunhill Row, London, England
Bunhill Row, London, England
Swan and Two Necks, Lad Lane, London, England
No. 18, Cumberland-street, Portman-square, in the parish of Marybone, London, England
Whitechapel, London, England
Whitechapel, London, England
Brentford, London, England
Church-lane, St. Giles's, London, England
St James's-street, London, England
Palace-yard, London, England
New river at Islington, London, England
parish of St. Paul, Shadwell, London, England
Bell Inn, Friday-street, London, England
the White Horse, Turnmill-street, London, England
the White Horse, Turnmill-street, London, England
64, Holborn-hill, in the parish of St. Andrew's, Holborn, London, England
64, Holborn-hill, in the parish of St. Andrew's, Holborn, London, England
White Cross Street, London, England
White Cross Street, London, England
Opera-house, London, England
Skinner-street, London, England
Four Swans, Bishopsgate, London, England
Hesson, London, England
Oxford-road, London, England
60, Wapping-wall, Shadwell, London, England
No. 10, James-street, Featherstone-street, City-road, London, England
No. 61, Chiswell-street, London, England
No. 12, Milk-street, London, England
No. 12, Milk-street, London, England
the Angel inn, St. Martin's-le-grand, London, England
the Angel inn, St. Martin's-le-grand, London, England
Strand, London, England
Bow, London, England
Bow, London, England
St. John-street, St. James's, Clerkenwell, London, England
No. 12, Church-lane, London, England
Strand, London, England
Kentish-town lodge, London, England
Nassau-street, London, England
Nassau-street, London, England
No. 50, Lothbury, London, England
No. 50, Lothbury, London, England
Three Cups, Aldersgate-street, London, England
Newgate-street, London, England
Bride-lane, in Fleet-street, London, England
Bride's passage, London, England
Portpool-lane, Gray's Inn-lane, London, England
No. 7, Wilderness-Row, Clerkenwell, London, England
No. 10, in Upper-Grafton-street, East, by Fitzroy Square, London, England
No. 10, Tottenham-court-road, London, England
Fulwood's Rents, London, England
Clement's Inn, in the parish of St. Clement's, Danes, London, England
54, Holywell-street, London, England
Temple Bar, London, England
Salisbury-street, in the Strand, London, England
Bishopgate without, London, England
No. 6, Lambs-conduit-street, London, England
No. 6, Lambs-conduit-street, London, England
Aldermanbury, London, England
Aldermanbury, London, England
Charing-cross, London, England
New Bond-street, London, England
Covent Garden, near the Theatre, London, England
Covent Garden, near the Theatre, London, England
Old Ford, London, England
No. 56, Devonshire-place, Portland-place, London, England
King-street, St. George's in the East, London, England
Upper Thames-street, London, England
wharf of Mr. Pearson, London, England
St. James's-street, London, England
Aldermanbury, London, England
Aldermanbury, London, England
Three Compasses, Cow-cross, London, England
Three Compasses, Cow-cross, London, England
St. James's-street, London, England
Grosvenor-row, London, England
48, Upper Berkley-street, Edgeware-road, in the parish of St. Mary-le-bone, London, England
Seward-street, Brick-lane, in the parish of St. Luke's, London, England
Broad street, London, England
Crown and Anchor, London, England
Long acre, London, England
corner of Red-cross-street, London, England
Finsbury-street, Finsbury-square, London, England
Finsbury-street, Finsbury-square, London, England
Globe Fields, Bethnal Green, London, England
corner of Bishopsgate-street and Leadenhall-street, London, England
Hendon, London, England
Shadwell, London, England
Temple-bar, London, England
Wheeler-street, Spitalfields, London, England
No. 16, Grace's Alley, Wellclose-square, London, England
No. 16, Grace's Alley, Wellclose-square, London, England
No. 59, Bishopsgate-street, Without, London, England
Fleet-market, London, England
34, Fenchurch-street, London, England
Crutched-friars, London, England
Snowhill, London, England
Wilsdon, London, England
Wilsdon, London, England
Brown Bear, Covent Garden, London, England
Brown Bear, Covent Garden, London, England
Burley Mews, London, England
Great Russell-street, London, England
the Aberdeen, lying in the Port of London, London, England
Hyde Park, London, England
Great Russell-street, London, England
North-end, Fulham, London, England
Thames Ditton, London, England
No. 3, Angel-alley, Nightingale-lane, London, England
21, on the Pavement of Moorfields, London, England
Coal Yard, Drury Lane, London, England
17, St. John-square, Clerkenwell, London, England
Hackney church, London, England
Holborn, London, England
Brick-lane, Spitalfields, London, England
No. 12, Beauchamp-street, Brooks-market, London, England
No. 70, Old-street, London, England
brig, in Billingsgate Dock, London, England
No. 2, Peerless-row, City-road, London, England
St. Martin's-court, Ludgate-hill, London, England
Butcher-hall-lane, Newgate-street, London, England
Giltspur-street, London, England
Dorset-street. in the parish of St. Mary-le-bone, London, England
No. 4, Cannon-street road, St. George's, Middlesex, London, England
city of York, London, England
Holywell-street, Shoreditch, London, England
East India Company barracks, London, England
Brownlow street, London, England
Queen's head Chelsea bridge, London, England
Thomas-street, Brick lane, Bethnal Green, London, England
parish of St. Pancras, London, England
Tothill-court, South Audley-street, London, England
No. 3, Meard-street, Soho, London, England
the Axe, in Aldermanbury, London, England
Wapping Wall, in181407060016St. John's parish, London, England
120, Edgware-road, in the parish of St. Mary-le-bone, London, England
Baker-street, Portman-square, London, England
No. 15, in Bridges-street, London, England
No. 15, in Bridges-street, London, England
Buckingham-street, York-buildings, London, England
Buckingham-street, York-buildings, London, England
Beech-street, London, England
Beech-street, London, England
Grosvenor-place, London, England
Grosvenor-place, London, England
No. 1. Lumber street, commonly called Lumber court, in St. Giles's Parish, London, England
Moorfields, London, England
No. 19, Ogle-court. Queen Ann-street, East, London, England
St. Catherines, London, England
Little Russel-street, Covent Garden, No. 33, London, England
Little Russel-street, Covent Garden, No. 33, London, England
Green Man, at Paddington, London, England
Cannon-street turnpike, by St. George's in the East, London, England
Drury-lane, London, England
Grafton-street, London, England
Parker's-lane, London, England
Parker's-lane, London, England
Booth-street, Spitalfields, London, England
Booth-street, Spitalfields, London, England
Holborn, London, England
the White Hart, Chancery-lane, London, England
Piccadilly, London, England
Chiswell-street, London, England
St. Dunstan, Stepney, London, England
St. Dunstan, Stepney, London, England
Sion, London, England
Sion, London, England
Houndsditch, London, England
Houndsditch, London, England
Bishopsgate Without, No. 40, London, England
Bishopsgate Without, No. 40, London, England
Newgate-street, nearly facing Warwick-lane, London, England
Newgate-street, nearly facing Warwick-lane, London, England
Bunhill-row, London, England
Bunhill-row, London, England
Turnmill-street, London, England
Lower Shadwell, London, England
Newton-street, High Holborn, London, England
Newton-street, High Holborn, London, England
the Cheshire Cheese, in Angel-street, London, England
Upper Newman-street, London, England
Hackney turnpike, London, England
Hackney turnpike, London, England
Park-lane, London, England
Goodman's-fields, London, England
Goodman's-fields, London, England
